,pred,pred_high,pred_low,dif4,sigma_dif4,dif4_high,dif4_low,dif4_median,match4,sigma_match4,match4_high,match4_low,match4_median,spectrum4
12,89826.72938242868,79016.57147833606,100968.79750511076,0.0,0.0,0.0,0.0,0.0,48715.70886485473,7.2560906633770805e-12,48715.708864854736,48715.708864854736,48715.708864854736,48715.708864854736
13,96048.84231781664,84248.72271947641,108183.16047884423,0.0,0.0,0.0,0.0,0.0,51388.1638765743,7.307789921258836e-12,51388.16387657434,51388.16387657434,51388.16387657434,51388.16387657434
14,102925.0801411959,90245.8146454408,115863.38522948418,0.0,0.0,0.0,0.0,0.0,54330.68307329495,7.449410261983299e-12,54330.68307329503,54330.68307329503,54330.68307329503,54330.68307329503
15,110547.02537115413,97016.02378477283,124672.06949691092,0.0,0.0,0.0,0.0,0.0,57576.62241765977,7.717477483746673e-12,57576.62241765988,57576.62241765988,57576.62241765988,57576.62241765988
16,119026.16214188637,104556.20602578437,134053.49960000732,0.0,0.0,0.0,0.0,0.0,61156.22873557209,8.124440391243144e-12,61156.22873557222,61156.22873557222,61156.22873557222,61156.22873557222
17,128494.14213794861,112657.10327277007,144730.3395179247,0.0,0.0,0.0,0.0,0.0,65090.09649399007,8.563951167269698e-12,65090.09649399025,65090.09649399025,65090.09649399025,65090.09649399025
18,139099.4433930846,121667.77306012086,157018.23906947664,0.0,0.0,0.0,0.0,0.0,69391.43580636628,8.926134928035862e-12,69391.43580636648,69391.43580636648,69391.43580636648,69391.43580636648
19,151023.59932327957,131488.01687212888,171102.5092203821,0.0,0.0,0.0,0.0,0.0,74077.16226214956,9.109496371706903e-12,74077.1622621498,74077.1622621498,74077.1622621498,74077.1622621498
20,164483.62883090109,141893.77595578405,187177.168977958,0.0,0.0,0.0,0.0,0.0,79168.20322363154,9.031918369219474e-12,79168.20322363179,79168.20322363179,79168.20322363179,79168.20322363179
21,179740.02518759412,154078.91535273453,206583.803573452,0.0,0.0,0.0,0.0,0.0,84679.23435743024,8.639560629394188e-12,84679.23435743048,84679.23435743048,84679.23435743048,84679.23435743048
22,197107.23967721508,167371.80601444305,227191.17553499696,0.0,0.0,0.0,0.0,0.0,90616.30051140374,7.933443153734956e-12,90616.30051140398,90616.30051140398,90616.30051140398,90616.30051140398
23,216984.594937605,182467.66349927595,250960.3688199813,0.0,0.0,0.0,0.0,0.0,96983.11059844463,6.990084727270983e-12,96983.11059844485,96983.11059844485,96983.11059844485,96983.11059844485
24,239832.22154471904,200931.54612641266,277433.3317891177,0.0,0.0,0.0,0.0,0.0,103793.64809538258,5.911712873223806e-12,103793.64809538278,103793.64809538278,103793.64809538278,103793.64809538278
25,266164.85434945516,220551.42960243585,310342.9095636446,0.0,0.0,0.0,0.0,0.0,111076.78036418857,4.794436890810897e-12,111076.78036418873,111076.78036418873,111076.78036418873,111076.78036418873
26,296673.5041200987,243945.7149963638,347660.2104471693,0.0,0.0,0.0,0.0,0.0,118873.32919055325,3.697083897554142e-12,118873.32919055337,118873.32919055337,118873.32919055337,118873.32919055337
27,332210.5043290758,270140.2709195559,391795.5542735317,0.0,0.0,0.0,0.0,0.0,127235.35206997025,2.6970710697952113e-12,127235.35206997034,127235.35206997034,127235.35206997034,127235.35206997034
28,373799.37385696487,301524.93654363486,443246.2162406915,0.0,0.0,0.0,0.0,0.0,136224.82418411144,1.8612672665558033e-12,136224.82418411147,136224.82418411147,136224.82418411147,136224.82418411147
29,422681.40380208613,336454.97828006983,505416.97594522685,0.0,0.0,0.0,0.0,0.0,145918.65670266206,1.1972487034216143e-12,145918.65670266212,145918.65670266212,145918.65670266212,145918.65670266212
30,480345.08743314474,378346.0851863919,577214.5494433634,0.0,0.0,0.0,0.0,0.0,156415.56651700925,6.939759996903064e-13,156415.56651700928,156415.56651700928,156415.56651700928,156415.56651700928
31,548633.2233495627,429224.6626527136,662748.923594617,0.0,0.0,0.0,0.0,0.0,167835.3777335952,3.229904665642413e-13,167835.3777335952,167835.3777335952,167835.3777335952,167835.3777335952
32,629611.0024464148,480798.59981477115,762727.7069899692,0.0,0.0,0.0,0.0,0.0,180321.2220184938,8.299609532752161e-14,180321.2220184938,180321.2220184938,180321.2220184938,180321.2220184938
33,725622.4630130474,540024.8170584004,879355.4720674147,0.0,0.0,0.0,0.0,0.0,194059.1287919907,0.0,194059.1287919907,194059.1287919907,194059.1287919907,194059.1287919907
34,839488.1951518038,617402.1124067229,1023247.3581206414,0.0,0.0,0.0,0.0,0.0,209289.26553313088,0.0,209289.26553313088,209289.26553313088,209289.26553313088,209289.26553313088
35,974479.2893437553,710799.9109633274,1208817.6003278515,0.0,0.0,0.0,0.0,0.0,226313.98345106235,0.0,226313.98345106235,226313.98345106235,226313.98345106235,226313.98345106235
36,1134320.7610268358,818052.9749168594,1407285.3529194123,0.0,0.0,0.0,0.0,0.0,245532.3263527673,0.0,245532.3263527673,245532.3263527673,245532.3263527673,245532.3263527673
37,1323397.2468565041,934565.6804840302,1673010.1761053796,0.0,0.0,0.0,0.0,0.0,267488.9021659505,0.0,267488.9021659505,267488.9021659505,267488.9021659505,267488.9021659505
38,1544686.9592744135,1081392.7076793402,2027551.5701757043,0.0,0.0,0.0,0.0,0.0,292939.5607085257,0.0,292939.5607085257,292939.5607085257,292939.5607085257,292939.5607085257
39,1799087.2895583839,1212667.2282623195,2381485.623587444,0.0,0.0,0.0,0.0,0.0,322969.280276269,0.0,322969.280276269,322969.280276269,322969.280276269,322969.280276269
40,2095906.9184834023,1374092.745705719,2850273.998647476,0.0,0.0,0.0,0.0,0.0,359160.0652524334,0.0,359160.0652524334,359160.0652524334,359160.0652524334,359160.0652524334
41,2437486.3449707283,1525965.9655032444,3404172.4810486026,0.0,0.0,0.0,0.0,0.0,403803.90383494046,0.0,403803.90383494046,403803.90383494046,403803.90383494046,403803.90383494046
42,2800958.8899267656,1667590.1612077372,3953270.424971297,0.0,0.0,0.0,0.0,0.0,460137.731420822,0.0,460137.731420822,460137.731420822,460137.731420822,460137.731420822
43,3079908.76983845,1745298.9857839004,4416103.812817283,0.0,0.0,0.0,0.0,0.0,532539.5791919976,0.0,532539.5791919976,532539.5791919976,532539.5791919976,532539.5791919976
44,3229021.163788944,1772941.5627831526,4460100.857367122,0.0,0.0,0.0,0.0,0.0,626592.4607634376,0.0,626592.4607634376,626592.4607634376,626592.4607634376,626592.4607634376
45,3229635.439670732,1714790.973820777,4785559.780274248,0.0,0.0,0.0,0.0,0.0,748882.4828986212,0.0,748882.4828986212,748882.4828986212,748882.4828986212,748882.4828986212
46,3056163.508114351,1600928.9700425658,4485073.482953947,0.0,0.0,0.0,0.0,0.0,906404.6487022026,0.0,906404.6487022026,906404.6487022026,906404.6487022026,906404.6487022026
47,2749704.9709275914,1480259.7320924918,3927074.7764462256,0.0,0.0,0.0,0.0,0.0,1105523.5749449083,0.0,1105523.5749449083,1105523.5749449083,1105523.5749449083,1105523.5749449083
48,2370746.3075938835,1368513.6064297017,3333040.680213595,0.0,0.0,0.0,0.0,0.0,1350692.1940585952,0.0,1350692.1940585952,1350692.1940585952,1350692.1940585952,1350692.1940585952
49,1987285.5323078828,1223922.9001537685,2754119.9165330557,0.0,0.0,0.0,0.0,0.0,1643295.9491168861,0.0,1643295.9491168861,1643295.9491168861,1643295.9491168861,1643295.9491168861
50,1650914.5175509593,1084017.1831819986,2257607.7941952944,0.0,0.0,0.0,0.0,0.0,1980924.5381048962,0.0,1980924.5381048962,1980924.5381048962,1980924.5381048962,1980924.5381048962
51,1372948.859902864,963220.0072812436,1842741.3316294216,0.0,0.0,0.0,0.0,0.0,2357138.843865856,0.0,2357138.843865856,2357138.843865856,2357138.843865856,2357138.843865856
52,1145748.0015479925,815816.3113779114,1492574.9078445057,0.0,0.0,0.0,0.0,0.0,2761699.227312753,0.0,2761699.227312753,2761699.227312753,2761699.227312753,2761699.227312753
53,959662.7540493126,706329.5466323331,1220853.332408266,0.0,0.0,0.0,0.0,0.0,3181236.310789692,0.0,3181236.310789692,3181236.310789692,3181236.310789692,3181236.310789692
54,808265.3922563395,615318.2007025393,990649.3091978036,0.0,0.0,0.0,0.0,0.0,3600292.870738872,0.0,3600292.870738872,3600292.870738872,3600292.870738872,3600292.870738872
55,684329.1359745625,542205.0676706602,832296.6339906917,0.0,0.0,0.0,0.0,0.0,4002525.313260791,0.0,4002525.313260791,4002525.313260791,4002525.313260791,4002525.313260791
56,583032.9940397289,470445.37200151174,705746.3593163355,0.0,0.0,0.0,0.0,0.0,4371824.494569279,0.0,4371824.494569279,4371824.494569279,4371824.494569279,4371824.494569279
57,500411.3566691053,407803.8691748035,600893.3163334205,0.0,0.0,0.0,0.0,0.0,4693298.18119817,0.0,4693298.18119817,4693298.18119817,4693298.18119817,4693298.18119817
